State,Mode,Year,Commute mode share (percent)
Idaho,Public transportation,2000,0.011
Illinois,Public transportation,2000,0.087
Indiana,Public transportation,2000,0.01
Iowa,Public transportation,2000,0.01
Kansas,Public transportation,2000,0.005
Kentucky,Public transportation,2000,0.012
Louisiana,Public transportation,2000,0.024
Maine,Public transportation,2000,0.008
Maryland,Public transportation,2000,0.072
Massachusetts,Public transportation,2000,0.087
Michigan,Public transportation,2000,0.013
Minnesota,Public transportation,2000,0.032
Mississippi,Public transportation,2000,0.006
Missouri,Public transportation,2000,0.015
Montana,Public transportation,2000,0.007
Nebraska,Public transportation,2000,0.007
Nevada,Public transportation,2000,0.039
New Hampshire,Public transportation,2000,0.007
New Jersey,Public transportation,2000,0.096
New Mexico,Public transportation,2000,0.008
New York,Public transportation,2000,0.244
North Carolina,Public transportation,2000,0.009
North Dakota,Public transportation,2000,0.004
Ohio,Public transportation,2000,0.021
Oklahoma,Public transportation,2000,0.005
Oregon,Public transportation,2000,0.042
Pennsylvania,Public transportation,2000,0.052
Rhode Island,Public transportation,2000,0.053
South Carolina,Public transportation,2000,0.025
South Dakota,Public transportation,2000,0.008
Tennessee,Public transportation,2000,0.005
Texas,Public transportation,2000,0.008
United States,Public transportation,2000,0.047
Utah,Public transportation,2000,0.019
Vermont,Public transportation,2000,0.022
Virginia,Public transportation,2000,0.007
Washington,Public transportation,2000,0.036
West Virginia,Public transportation,2000,0.049
Wisconsin,Public transportation,2000,0.008
Wyoming,Public transportation,2000,0.02
Alabama,"Taxi, motorcycle, or other",2000,0.008
Alaska,"Taxi, motorcycle, or other",2000,0.048
Arizona,"Taxi, motorcycle, or other",2000,0.023
Arkansas,"Taxi, motorcycle, or other",2000,0.01
California,"Taxi, motorcycle, or other",2000,0.019
Colorado,"Taxi, motorcycle, or other",2000,0.015
Connecticut,"Taxi, motorcycle, or other",2000,0.007
Delaware,"Taxi, motorcycle, or other",2000,0.01
District of Columbia,"Taxi, motorcycle, or other",2000,0.019
Florida,"Taxi, motorcycle, or other",2000,0.017
Georgia,"Taxi, motorcycle, or other",2000,0.011
Hawaii,"Taxi, motorcycle, or other",2000,0.024
Idaho,"Taxi, motorcycle, or other",2000,0.014
Illinois,"Taxi, motorcycle, or other",2000,0.01
Indiana,"Taxi, motorcycle, or other",2000,0.009
Iowa,"Taxi, motorcycle, or other",2000,0.009
Kansas,"Taxi, motorcycle, or other",2000,0.009
Kentucky,"Taxi, motorcycle, or other",2000,0.009
Louisiana,"Taxi, motorcycle, or other",2000,0.016
Maine,"Taxi, motorcycle, or other",2000,0.009
Maryland,"Taxi, motorcycle, or other",2000,0.008
Massachusetts,"Taxi, motorcycle, or other",2000,0.01
Michigan,"Taxi, motorcycle, or other",2000,0.007
Minnesota,"Taxi, motorcycle, or other",2000,0.009
Mississippi,"Taxi, motorcycle, or other",2000,0.01
Missouri,"Taxi, motorcycle, or other",2000,0.008
Montana,"Taxi, motorcycle, or other",2000,0.017
Nebraska,"Taxi, motorcycle, or other",2000,0.009
Nevada,"Taxi, motorcycle, or other",2000,0.016
New Hampshire,"Taxi, motorcycle, or other",2000,0.008
New Jersey,"Taxi, motorcycle, or other",2000,0.009
New Mexico,"Taxi, motorcycle, or other",2000,0.016
New York,"Taxi, motorcycle, or other",2000,0.008
North Carolina,"Taxi, motorcycle, or other",2000,0.011
North Dakota,"Taxi, motorcycle, or other",2000,0.008
Ohio,"Taxi, motorcycle, or other",2000,0.007
Oklahoma,"Taxi, motorcycle, or other",2000,0.011
Oregon,"Taxi, motorcycle, or other",2000,0.019
Pennsylvania,"Taxi, motorcycle, or other",2000,0.008
Rhode Island,"Taxi, motorcycle, or other",2000,0.019
South Carolina,"Taxi, motorcycle, or other",2000,0.01
South Dakota,"Taxi, motorcycle, or other",2000,0.013
Tennessee,"Taxi, motorcycle, or other",2000,0.008
Texas,"Taxi, motorcycle, or other",2000,0.008
United States,"Taxi, motorcycle, or other",2000,0.012
Utah,"Taxi, motorcycle, or other",2000,0.013
Vermont,"Taxi, motorcycle, or other",2000,0.012
Virginia,"Taxi, motorcycle, or other",2000,0.009
Washington,"Taxi, motorcycle, or other",2000,0.012
West Virginia,"Taxi, motorcycle, or other",2000,0.014
Wisconsin,"Taxi, motorcycle, or other",2000,0.009
Wyoming,"Taxi, motorcycle, or other",2000,0.009
Alabama,Walked,2000,0.013
Alaska,Walked,2000,0.073
Arizona,Walked,2000,0.026
Arkansas,Walked,2000,0.019
California,Walked,2000,0.029
Colorado,Walked,2000,0.03
Connecticut,Walked,2000,0.027
Delaware,Walked,2000,0.026
District of Columbia,Walked,2000,0.118
Florida,Walked,2000,0.017
Georgia,Walked,2000,0.017
Hawaii,Walked,2000,0.048
Idaho,Walked,2000,0.035
Illinois,Walked,2000,0.031
Indiana,Walked,2000,0.024
Iowa,Walked,2000,0.04
Kansas,Walked,2000,0.025
Kentucky,Walked,2000,0.024
Louisiana,Walked,2000,0.022
Maine,Walked,2000,0.04
Maryland,Walked,2000,0.025
Massachusetts,Walked,2000,0.043
Michigan,Walked,2000,0.022
Minnesota,Walked,2000,0.033
Mississippi,Walked,2000,0.019
Missouri,Walked,2000,0.021
Montana,Walked,2000,0.055
Nebraska,Walked,2000,0.032
Nevada,Walked,2000,0.027
New Hampshire,Walked,2000,0.029
New Jersey,Walked,2000,0.031
New Mexico,Walked,2000,0.028
New York,Walked,2000,0.062
North Carolina,Walked,2000,0.019
North Dakota,Walked,2000,0.05
Ohio,Walked,2000,0.024
Oklahoma,Walked,2000,0.021
Oregon,Walked,2000,0.036
Pennsylvania,Walked,2000,0.041
Rhode Island,Walked,2000,0.041
South Carolina,Walked,2000,0.038
South Dakota,Walked,2000,0.023
Tennessee,Walked,2000,0.045
Texas,Walked,2000,0.015
United States,Walked,2000,0.029
Utah,Walked,2000,0.019
Vermont,Walked,2000,0.028
Virginia,Walked,2000,0.056
Washington,Walked,2000,0.023
West Virginia,Walked,2000,0.032
Wisconsin,Walked,2000,0.029
Wyoming,Walked,2000,0.037
Alabama,Worked at home,2000,0.021
Alaska,Worked at home,2000,0.041
Arizona,Worked at home,2000,0.037
Arkansas,Worked at home,2000,0.026
California,Worked at home,2000,0.038
Colorado,Worked at home,2000,0.049
Connecticut,Worked at home,2000,0.031
Delaware,Worked at home,2000,0.03
District of Columbia,Worked at home,2000,0.038
Florida,Worked at home,2000,0.03
Georgia,Worked at home,2000,0.028
Hawaii,Worked at home,2000,0.036
Idaho,Worked at home,2000,0.047
Illinois,Worked at home,2000,0.031
Indiana,Worked at home,2000,0.029
Iowa,Worked at home,2000,0.047
Kansas,Worked at home,2000,0.04
Kentucky,Worked at home,2000,0.027
Louisiana,Worked at home,2000,0.021
Maine,Worked at home,2000,0.044
Maryland,Worked at home,2000,0.033
Massachusetts,Worked at home,2000,0.031
Michigan,Worked at home,2000,0.028
Minnesota,Worked at home,2000,0.046
Mississippi,Worked at home,2000,0.019
Missouri,Worked at home,2000,0.035
Montana,Worked at home,2000,0.064
Nebraska,Worked at home,2000,0.046
Nevada,Worked at home,2000,0.026
New Hampshire,Worked at home,2000,0.04
New Jersey,Worked at home,2000,0.027
New Mexico,Worked at home,2000,0.042
New York,Worked at home,2000,0.03
North Carolina,Worked at home,2000,0.027
North Dakota,Worked at home,2000,0.06
Ohio,Worked at home,2000,0.028
Oklahoma,Worked at home,2000,0.031
Oregon,Worked at home,2000,0.05
Pennsylvania,Worked at home,2000,0.03
Rhode Island,Worked at home,2000,0.018
South Carolina,Worked at home,2000,0.022
South Dakota,Worked at home,2000,0.021
Tennessee,Worked at home,2000,0.065
Texas,Worked at home,2000,0.026
United States,Worked at home,2000,0.033
Utah,Worked at home,2000,0.028
Vermont,Worked at home,2000,0.042
Virginia,Worked at home,2000,0.057
Washington,Worked at home,2000,0.032
West Virginia,Worked at home,2000,0.043
Wisconsin,Worked at home,2000,0.024
Wyoming,Worked at home,2000,0.039
Alabama,Bicycle,2005,0.000934449
Alaska,Bicycle,2005,0.008921239
Arizona,Bicycle,2005,0.007772234
Arkansas,Bicycle,2005,0.001698746
California,Bicycle,2005,0.007069508
Colorado,Bicycle,2005,0.009360332
Connecticut,Bicycle,2005,0.002653647
Delaware,Bicycle,2005,0.002987157
District of Columbia,Bicycle,2005,0.017353371
Florida,Bicycle,2005,0.00437677
Georgia,Bicycle,2005,0.001596416
Hawaii,Bicycle,2005,0.006946739
Idaho,Bicycle,2005,0.010048312
Illinois,Bicycle,2005,0.003818739
Indiana,Bicycle,2005,0.004007532
Iowa,Bicycle,2005,0.00543137
Kansas,Bicycle,2005,0.002682483
Kentucky,Bicycle,2005,0.001167604
Louisiana,Bicycle,2005,0.002725602
Maine,Bicycle,2005,0.002810133
Maryland,Bicycle,2005,0.001752848
Massachusetts,Bicycle,2005,0.003948567
Michigan,Bicycle,2005,0.002795044
Minnesota,Bicycle,2005,0.005302843
Mississippi,Bicycle,2005,0.001114978
Missouri,Bicycle,2005,0.00186439
Montana,Bicycle,2005,0.016025726
Nebraska,Bicycle,2005,0.004024541
Nevada,Bicycle,2005,0.003984239
New Hampshire,Bicycle,2005,0.002028516
New Jersey,Bicycle,2005,0.002659092
New Mexico,Bicycle,2005,0.005067239
New York,Bicycle,2005,0.003441358
North Carolina,Bicycle,2005,0.002033458
North Dakota,Bicycle,2005,0.004243363
Ohio,Bicycle,2005,0.002329204
Oklahoma,Bicycle,2005,0.002323456
Oregon,Bicycle,2005,0.015251762
Pennsylvania,Bicycle,2005,0.00262875
Rhode Island,Bicycle,2005,0.002277322
South Carolina,Bicycle,2005,0.002304077
South Dakota,Bicycle,2005,0.004141183
Tennessee,Bicycle,2005,0.00072102
Texas,Bicycle,2005,0.002300865
United States,Bicycle,2005,0.004019023
Utah,Bicycle,2005,0.006163209
Vermont,Bicycle,2005,0.005180937
Virginia,Bicycle,2005,0.00232175
Washington,Bicycle,2005,0.006610989
West Virginia,Bicycle,2005,0.000699371
Wisconsin,Bicycle,2005,0.006358481
Wyoming,Bicycle,2005,0.006479523
Alabama,Carpool,2005,0.108826272
Alaska,Carpool,2005,0.151192779
Arizona,Carpool,2005,0.142233746
Arkansas,Carpool,2005,0.123160733
California,Carpool,2005,0.125177538
Colorado,Carpool,2005,0.100434994
Connecticut,Carpool,2005,0.082275716
Delaware,Carpool,2005,0.105930741
District of Columbia,Carpool,2005,0.077025594
Florida,Carpool,2005,0.110585991
Georgia,Carpool,2005,0.112780724
Hawaii,Carpool,2005,0.156453173
Idaho,Carpool,2005,0.122269464
Illinois,Carpool,2005,0.093962971
Indiana,Carpool,2005,0.094204685
Iowa,Carpool,2005,0.100735192
Kansas,Carpool,2005,0.090964536
Kentucky,Carpool,2005,0.109129054
Louisiana,Carpool,2005,0.11027171
Maine,Carpool,2005,0.101180381
Maryland,Carpool,2005,0.108649956
Massachusetts,Carpool,2005,0.084685157
Michigan,Carpool,2005,0.086651358
Minnesota,Carpool,2005,0.094980828
Mississippi,Carpool,2005,0.124284528
Missouri,Carpool,2005,0.105095228
Montana,Carpool,2005,0.110444837
Nebraska,Carpool,2005,0.100407657
Nevada,Carpool,2005,0.116719828
New Hampshire,Carpool,2005,0.087501647
New Jersey,Carpool,2005,0.092663682
New Mexico,Carpool,2005,0.135944479
New York,Carpool,2005,0.078097937
North Carolina,Carpool,2005,0.118955601
North Dakota,Carpool,2005,0.107624081
Ohio,Carpool,2005,0.08362305
Oklahoma,Carpool,2005,0.109526617
Oregon,Carpool,2005,0.114877008
Pennsylvania,Carpool,2005,0.097424258
Rhode Island,Carpool,2005,0.089223074
South Carolina,Carpool,2005,0.115066772
South Dakota,Carpool,2005,0.109918146
Tennessee,Carpool,2005,0.103799054
Texas,Carpool,2005,0.125069651
United States,Carpool,2005,0.106697083
Utah,Carpool,2005,0.127657304
Vermont,Carpool,2005,0.110282654
Virginia,Carpool,2005,0.113561754
Washington,Carpool,2005,0.118537377
West Virginia,Carpool,2005,0.108865567
Wisconsin,Carpool,2005,0.090277977
Wyoming,Carpool,2005,0.12490027
Alabama,Drove alone,2005,0.839629105
Alaska,Drove alone,2005,0.681909804
Arizona,Drove alone,2005,0.755344722
Arkansas,Drove alone,2005,0.817080056
California,Drove alone,2005,0.739917596
Colorado,Drove alone,2005,0.763770025
Connecticut,Drove alone,2005,0.810628705
Delaware,Drove alone,2005,0.802789693
District of Columbia,Drove alone,2005,0.375414724
Florida,Drove alone,2005,0.799761716
Georgia,Drove alone,2005,0.800176404
Hawaii,Drove alone,2005,0.684102292
Idaho,Drove alone,2005,0.761986604
Illinois,Drove alone,2005,0.749600927
Indiana,Drove alone,2005,0.831350376
Iowa,Drove alone,2005,0.800976858
Kansas,Drove alone,2005,0.825590455
Kentucky,Drove alone,2005,0.827630648
Louisiana,Drove alone,2005,0.810427474
Maine,Drove alone,2005,0.798116696
Maryland,Drove alone,2005,0.735939623
Massachusetts,Drove alone,2005,0.749803677
Michigan,Drove alone,2005,0.842763215
Minnesota,Drove alone,2005,0.789821592
Mississippi,Drove alone,2005,0.824069484
Missouri,Drove alone,2005,0.815599087
Montana,Drove alone,2005,0.752027377
Nebraska,Drove alone,2005,0.809854583
Nevada,Drove alone,2005,0.780880927
New Hampshire,Drove alone,2005,0.824466747
New Jersey,Drove alone,2005,0.728090034
New Mexico,Drove alone,2005,0.766180205
New York,Drove alone,2005,0.554054319
North Carolina,Drove alone,2005,0.812224388
North Dakota,Drove alone,2005,0.78180548
Ohio,Drove alone,2005,0.839704978
Oklahoma,Drove alone,2005,0.81802443
Oregon,Drove alone,2005,0.734301946
Pennsylvania,Drove alone,2005,0.773161437
Rhode Island,Drove alone,2005,0.815874532
South Carolina,Drove alone,2005,0.823969088
South Dakota,Drove alone,2005,0.774775719
Tennessee,Drove alone,2005,0.836179782
Texas,Drove alone,2005,0.792547275
United States,Drove alone,2005,0.769835931
Utah,Drove alone,2005,0.764876562
Vermont,Drove alone,2005,0.758463781
Virginia,Drove alone,2005,0.784322334
Washington,Drove alone,2005,0.742841987
West Virginia,Drove alone,2005,0.81903976
Wisconsin,Drove alone,2005,0.81128564
Wyoming,Drove alone,2005,0.74271683
Alabama,Public transportation,2005,0.004310625
Alaska,Public transportation,2005,0.012124606
Arizona,Public transportation,2005,0.019014673
Arkansas,Public transportation,2005,0.003336703
California,Public transportation,2005,0.047255948
Colorado,Public transportation,2005,0.027138999
Connecticut,Public transportation,2005,0.042493945
Delaware,Public transportation,2005,0.021630444
District of Columbia,Public transportation,2005,0.377243712
Florida,Public transportation,2005,0.017985595
Georgia,Public transportation,2005,0.02235544
Hawaii,Public transportation,2005,0.057082438
Idaho,Public transportation,2005,0.009412382
Illinois,Public transportation,2005,0.082343483
Indiana,Public transportation,2005,0.009208894
Iowa,Public transportation,2005,0.007861622
Kansas,Public transportation,2005,0.003863919
Kentucky,Public transportation,2005,0.008836303
Louisiana,Public transportation,2005,0.019248759
Maine,Public transportation,2005,0.006548655
Maryland,Public transportation,2005,0.08466321
Massachusetts,Public transportation,2005,0.081451272
Michigan,Public transportation,2005,0.01141912
Minnesota,Public transportation,2005,0.028189506
Mississippi,Public transportation,2005,0.004182437
Missouri,Public transportation,2005,0.012628882
Montana,Public transportation,2005,0.005849302
Nebraska,Public transportation,2005,0.006187251
Nevada,Public transportation,2005,0.030215349
New Hampshire,Public transportation,2005,0.006877493
New Jersey,Public transportation,2005,0.102839552
New Mexico,Public transportation,2005,0.008631605
New York,Public transportation,2005,0.258462977
North Carolina,Public transportation,2005,0.008703925
North Dakota,Public transportation,2005,0.004249438
Ohio,Public transportation,2005,0.017379145
Oklahoma,Public transportation,2005,0.005793644
Oregon,Public transportation,2005,0.040642828
Pennsylvania,Public transportation,2005,0.05087155
Rhode Island,Public transportation,2005,0.026540788
South Carolina,Public transportation,2005,0.006706644
South Dakota,Public transportation,2005,0.003098684
Tennessee,Public transportation,2005,0.006702928
Texas,Public transportation,2005,0.016550522
United States,Public transportation,2005,0.046599785
Utah,Public transportation,2005,0.023436334
Vermont,Public transportation,2005,0.008837696
Virginia,Public transportation,2005,0.036800537
Washington,Public transportation,2005,0.047062479
West Virginia,Public transportation,2005,0.006612237
Wisconsin,Public transportation,2005,0.014979113
Wyoming,Public transportation,2005,0.015619796
Alabama,"Taxi, motorcycle, or other",2005,0.011966516
Alaska,"Taxi, motorcycle, or other",2005,0.039180155
Arizona,"Taxi, motorcycle, or other",2005,0.014235763
Arkansas,"Taxi, motorcycle, or other",2005,0.012627343
California,"Taxi, motorcycle, or other",2005,0.013204386
Colorado,"Taxi, motorcycle, or other",2005,0.010137436
Connecticut,"Taxi, motorcycle, or other",2005,0.008876261
Delaware,"Taxi, motorcycle, or other",2005,0.011978853
District of Columbia,"Taxi, motorcycle, or other",2005,0.008824765
Florida,"Taxi, motorcycle, or other",2005,0.015257597
Georgia,"Taxi, motorcycle, or other",2005,0.014182315
Hawaii,"Taxi, motorcycle, or other",2005,0.016573204
Idaho,"Taxi, motorcycle, or other",2005,0.013658019
Illinois,"Taxi, motorcycle, or other",2005,0.01053769
Indiana,"Taxi, motorcycle, or other",2005,0.011472411
Iowa,"Taxi, motorcycle, or other",2005,0.010168867
Kansas,"Taxi, motorcycle, or other",2005,0.01188204
Kentucky,"Taxi, motorcycle, or other",2005,0.008488061
Louisiana,"Taxi, motorcycle, or other",2005,0.017194869
Maine,"Taxi, motorcycle, or other",2005,0.009416519
Maryland,"Taxi, motorcycle, or other",2005,0.011024392
Massachusetts,"Taxi, motorcycle, or other",2005,0.008435949
Michigan,"Taxi, motorcycle, or other",2005,0.007240196
Minnesota,"Taxi, motorcycle, or other",2005,0.007959272
Mississippi,"Taxi, motorcycle, or other",2005,0.01478065
Missouri,"Taxi, motorcycle, or other",2005,0.010569595
Montana,"Taxi, motorcycle, or other",2005,0.009543829
Nebraska,"Taxi, motorcycle, or other",2005,0.008129392
Nevada,"Taxi, motorcycle, or other",2005,0.015511548
New Hampshire,"Taxi, motorcycle, or other",2005,0.009371594
New Jersey,"Taxi, motorcycle, or other",2005,0.012801836
New Mexico,"Taxi, motorcycle, or other",2005,0.011254124
New York,"Taxi, motorcycle, or other",2005,0.015564406
North Carolina,"Taxi, motorcycle, or other",2005,0.012528268
North Dakota,"Taxi, motorcycle, or other",2005,0.008717575
Ohio,"Taxi, motorcycle, or other",2005,0.008025798
Oklahoma,"Taxi, motorcycle, or other",2005,0.014393815
Oregon,"Taxi, motorcycle, or other",2005,0.011245607
Pennsylvania,"Taxi, motorcycle, or other",2005,0.008570339
Rhode Island,"Taxi, motorcycle, or other",2005,0.012896833
South Carolina,"Taxi, motorcycle, or other",2005,0.013257344
South Dakota,"Taxi, motorcycle, or other",2005,0.007195338
Tennessee,"Taxi, motorcycle, or other",2005,0.011233765
Texas,"Taxi, motorcycle, or other",2005,0.015374711
United States,"Taxi, motorcycle, or other",2005,0.012080911
Utah,"Taxi, motorcycle, or other",2005,0.010105129
Vermont,"Taxi, motorcycle, or other",2005,0.009664744
Virginia,"Taxi, motorcycle, or other",2005,0.01053002
Washington,"Taxi, motorcycle, or other",2005,0.010588912
West Virginia,"Taxi, motorcycle, or other",2005,0.011076603
Wisconsin,"Taxi, motorcycle, or other",2005,0.009522989
Wyoming,"Taxi, motorcycle, or other",2005,0.009767698
Alabama,Walked,2005,0.011966516
Alaska,Walked,2005,0.065723302
Arizona,Walked,2005,0.021002973
Arkansas,Walked,2005,0.0160723
California,Walked,2005,0.02476238
Colorado,Walked,2005,0.029063778
Connecticut,Walked,2005,0.020379017
Delaware,Walked,2005,0.018031247
District of Columbia,Walked,2005,0.099673824
Florida,Walked,2005,0.015760526
Georgia,Walked,2005,0.013289318
Hawaii,Walked,2005,0.033165244
Idaho,Walked,2005,0.033307815
Illinois,Walked,2005,0.026110366
Indiana,Walked,2005,0.019225432
Iowa,Walked,2005,0.031580371
Kansas,Walked,2005,0.025389212
Kentucky,Walked,2005,0.017001036
Louisiana,Walked,2005,0.017277756
Maine,Walked,2005,0.036205619
Maryland,Walked,2005,0.020839453
Massachusetts,Walked,2005,0.037781451
Michigan,Walked,2005,0.01803433
Minnesota,Walked,2005,0.027028089
Mississippi,Walked,2005,0.012921226
Missouri,Walked,2005,0.018029762
Montana,Walked,2005,0.046478118
Nebraska,Walked,2005,0.026729602
Nevada,Walked,2005,0.022891135
New Hampshire,Walked,2005,0.027517456
New Jersey,Walked,2005,0.030633261
New Mexico,Walked,2005,0.025304959
New York,Walked,2005,0.055736176
North Carolina,Walked,2005,0.013803561
North Dakota,Walked,2005,0.040981714
Ohio,Walked,2005,0.018873122
Oklahoma,Walked,2005,0.017640017
Oregon,Walked,2005,0.032335985
Pennsylvania,Walked,2005,0.036325679
Rhode Island,Walked,2005,0.025372162
South Carolina,Walked,2005,0.014642488
South Dakota,Walked,2005,0.040015716
Tennessee,Walked,2005,0.013688846
Texas,Walked,2005,0.014899251
United States,Walked,2005,0.024730447
Utah,Walked,2005,0.020816775
Vermont,Walked,2005,0.052484315
Virginia,Walked,2005,0.017495546
Washington,Walked,2005,0.028701407
West Virginia,Walked,2005,0.025065411
Wisconsin,Walked,2005,0.029258072
Wyoming,Walked,2005,0.04383845
Alabama,Worked at home,2005,0.022366516
Alaska,Worked at home,2005,0.040948115
Arizona,Worked at home,2005,0.040395889
Arkansas,Worked at home,2005,0.026024119
California,Worked at home,2005,0.042612643
Colorado,Worked at home,2005,0.060094437
Connecticut,Worked at home,2005,0.032692709
Delaware,Worked at home,2005,0.036651865
District of Columbia,Worked at home,2005,0.044464011
Florida,Worked at home,2005,0.036271805
Georgia,Worked at home,2005,0.035619383
Hawaii,Worked at home,2005,0.045676909
Idaho,Worked at home,2005,0.049317404
Illinois,Worked at home,2005,0.033625823
Indiana,Worked at home,2005,0.030530671
Iowa,Worked at home,2005,0.043245719
Kansas,Worked at home,2005,0.039627355
Kentucky,Worked at home,2005,0.027747295
Louisiana,Worked at home,2005,0.02285383
Maine,Worked at home,2005,0.045721998
Maryland,Worked at home,2005,0.037130517
Massachusetts,Worked at home,2005,0.033893926
Michigan,Worked at home,2005,0.031096738
Minnesota,Worked at home,2005,0.046717869
Mississippi,Worked at home,2005,0.018646697
Missouri,Worked at home,2005,0.036213057
Montana,Worked at home,2005,0.059630811
Nebraska,Worked at home,2005,0.044666974
Nevada,Worked at home,2005,0.029796973
New Hampshire,Worked at home,2005,0.042236547
New Jersey,Worked at home,2005,0.030312544
New Mexico,Worked at home,2005,0.047617389
New York,Worked at home,2005,0.034642827
North Carolina,Worked at home,2005,0.0317508
North Dakota,Worked at home,2005,0.052378349
Ohio,Worked at home,2005,0.030064704
Oklahoma,Worked at home,2005,0.03229802
Oregon,Worked at home,2005,0.051344863
Pennsylvania,Worked at home,2005,0.031017987
Rhode Island,Worked at home,2005,0.027815289
South Carolina,Worked at home,2005,0.024053588
South Dakota,Worked at home,2005,0.060855216
Tennessee,Worked at home,2005,0.027674605
Texas,Worked at home,2005,0.033257724
United States,Worked at home,2005,0.03603682
Utah,Worked at home,2005,0.046944686
Vermont,Worked at home,2005,0.055085874
Virginia,Worked at home,2005,0.034968059
Washington,Worked at home,2005,0.04565685
West Virginia,Worked at home,2005,0.02864105
Wisconsin,Worked at home,2005,0.038317728
Wyoming,Worked at home,2005,0.056677434
Alabama,Bicycle,2010,0.00118969
Alaska,Bicycle,2010,0.013225634
Arizona,Bicycle,2010,0.008506625
Arkansas,Bicycle,2010,0.000608499
California,Bicycle,2010,0.010050325
Colorado,Bicycle,2010,0.011351665
Connecticut,Bicycle,2010,0.002533353
Delaware,Bicycle,2010,0.001559236
District of Columbia,Bicycle,2010,0.031302554
